Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Start Year,Start Month,Start Day,Start Quarter,CI_Sum
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.7,8.3,9.2,8.3 - 9.2,Unknown,2020,8,19,3,17.5
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.2,10.9,13.7,10.9 - 13.7,Unknown,2020,8,19,3,24.6
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.7,11.0,12.6,11.0 - 12.6,Unknown,2020,8,19,3,23.6
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.0,9.4,10.5,9.4 - 10.5,Unknown,2020,8,19,3,19.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.4,7.6,9.2,7.6 - 9.2,Unknown,2020,8,19,3,16.799999999999997
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.4,4.9,6.0,4.9 - 6.0,Unknown,2020,8,19,3,10.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.1,3.4,5.0,3.4 - 5.0,Unknown,2020,8,19,3,8.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,3.0,2.0,4.4,2.0 - 4.4,Unknown,2020,8,19,3,6.4
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.7,6.2,7.3,6.2 - 7.3,Unknown,2020,8,19,3,13.5
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.6,10.1,11.2,10.1 - 11.2,Unknown,2020,8,19,3,21.299999999999997
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.8,4.5,5.1,4.5 - 5.1,Unknown,2020,8,19,3,9.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.7,14.8,16.6,14.8 - 16.6,Unknown,2020,8,19,3,31.400000000000002
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.3,6.2,8.4,6.2 - 8.4,Unknown,2020,8,19,3,14.600000000000001
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.4,8.9,9.8,8.9 - 9.8,Unknown,2020,8,19,3,18.700000000000003
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.7,6.7,8.7,6.7 - 8.7,Unknown,2020,8,19,3,15.399999999999999
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.2,5.1,7.5,5.1 - 7.5,Unknown,2020,8,19,3,12.6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.6,9.0,12.4,9.0 - 12.4,Unknown,2020,8,19,3,21.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.1,5.6,8.8,5.6 - 8.8,Unknown,2020,8,19,3,14.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.6,5.9,7.5,5.9 - 7.5,Unknown,2020,8,19,3,13.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.7,8.0,9.4,8.0 - 9.4,Unknown,2020,8,19,3,17.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.1,10.6,11.5,10.6 - 11.5,Unknown,2020,8,19,3,22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.4,22.0,22.9,22.0 - 22.9,Unknown,2020,8,19,3,44.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.3,21.5,25.2,21.5 - 25.2,Unknown,2020,8,19,3,46.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.1,22.1,24.1,22.1 - 24.1,Unknown,2020,8,19,3,46.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.6,22.8,24.5,22.8 - 24.5,Unknown,2020,8,19,3,47.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.9,22.8,25.1,22.8 - 25.1,Unknown,2020,8,19,3,47.900000000000006
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,20.2,22.2,20.2 - 22.2,Unknown,2020,8,19,3,42.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.6,18.1,21.1,18.1 - 21.1,Unknown,2020,8,19,3,39.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,14.8,12.0,17.9,12.0 - 17.9,Unknown,2020,8,19,3,29.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,16.3,15.6,17.1,15.6 - 17.1,Unknown,2020,8,19,3,32.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,28.0,27.3,28.7,27.3 - 28.7,Unknown,2020,8,19,3,56.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.9,13.4,14.4,13.4 - 14.4,Unknown,2020,8,19,3,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,37.5,36.5,38.5,36.5 - 38.5,Unknown,2020,8,19,3,75.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.2,15.8,18.6,15.8 - 18.6,Unknown,2020,8,19,3,34.400000000000006
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,25.6,25.0,26.1,25.0 - 26.1,Unknown,2020,8,19,3,51.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.6,14.2,17.1,14.2 - 17.1,Unknown,2020,8,19,3,31.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.1,9.7,12.5,9.7 - 12.5,Unknown,2020,8,19,3,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,25.0,22.3,27.9,22.3 - 27.9,Unknown,2020,8,19,3,50.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.0,17.3,22.9,17.3 - 22.9,Unknown,2020,8,19,3,40.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.1,19.1,21.2,19.1 - 21.2,Unknown,2020,8,19,3,40.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.5,22.7,24.4,22.7 - 24.4,Unknown,2020,8,19,3,47.099999999999994
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,24.0,23.4,24.6,23.4 - 24.6,Unknown,2020,8,19,3,48.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.2,8.8,9.6,8.8 - 9.6,Unknown,2020,8,19,3,18.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.6,14.5,16.7,14.5 - 16.7,Unknown,2020,8,19,3,31.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.9,11.9,13.9,11.9 - 13.9,Unknown,2020,8,19,3,25.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.0,9.3,10.7,9.3 - 10.7,Unknown,2020,8,19,3,20.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.7,6.9,8.5,6.9 - 8.5,Unknown,2020,8,19,3,15.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.3,4.8,5.9,4.8 - 5.9,Unknown,2020,8,19,3,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,2.9,2.2,3.6,2.2 - 3.6,Unknown,2020,8,19,3,5.800000000000001
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,1.4,0.9,2.0,0.9 - 2.0,Unknown,2020,8,19,3,2.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.8,6.2,7.3,6.2 - 7.3,Unknown,2020,8,19,3,13.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.4,10.9,11.9,10.9 - 11.9,Unknown,2020,8,19,3,22.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,2.4,2.2,2.7,2.2 - 2.7,Unknown,2020,8,19,3,4.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.0,20.2,21.8,20.2 - 21.8,Unknown,2020,8,19,3,42.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.6,8.6,10.6,8.6 - 10.6,Unknown,2020,8,19,3,19.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.1,8.7,9.5,8.7 - 9.5,Unknown,2020,8,19,3,18.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.3,8.3,10.3,8.3 - 10.3,Unknown,2020,8,19,3,18.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.8,3.9,5.8,3.9 - 5.8,Unknown,2020,8,19,3,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,14.2,12.1,16.4,12.1 - 16.4,Unknown,2020,8,19,3,28.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.0,5.4,8.8,5.4 - 8.8,Unknown,2020,8,19,3,14.200000000000001
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.0,6.3,7.8,6.3 - 7.8,Unknown,2020,8,19,3,14.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.2,10.6,11.9,10.6 - 11.9,Unknown,2020,8,19,3,22.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.7,9.2,10.1,9.2 - 10.1,Unknown,2020,8,19,3,19.299999999999997
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,19.6,19.1,20.2,19.1 - 20.2,Unknown,2020,9,2,3,39.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,18.4,17.4,19.4,17.4 - 19.4,Unknown,2020,9,2,3,36.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,19.5,18.3,20.6,18.3 - 20.6,Unknown,2020,9,2,3,38.900000000000006
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,19.9,18.9,21.0,18.9 - 21.0,Unknown,2020,9,2,3,39.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,21.0,19.9,22.3,19.9 - 22.3,Unknown,2020,9,2,3,42.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,21.1,20.2,22.1,20.2 - 22.1,Unknown,2020,9,2,3,42.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,18.1,16.5,19.9,16.5 - 19.9,Unknown,2020,9,2,3,36.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,11.7,8.5,15.7,8.5 - 15.7,Unknown,2020,9,2,3,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,14.8,14.2,15.5,14.2 - 15.5,Unknown,2020,9,2,3,29.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,24.0,23.3,24.7,23.3 - 24.7,Unknown,2020,9,2,3,48.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,12.0,11.3,12.6,11.3 - 12.6,Unknown,2020,9,2,3,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,33.3,32.3,34.3,32.3 - 34.3,Unknown,2020,9,2,3,66.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,15.9,14.4,17.4,14.4 - 17.4,Unknown,2020,9,2,3,31.799999999999997
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,22.1,21.6,22.7,21.6 - 22.7,Unknown,2020,9,2,3,44.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,14.8,13.1,16.7,13.1 - 16.7,Unknown,2020,9,2,3,29.799999999999997
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,8.2,7.1,9.5,7.1 - 9.5,Unknown,2020,9,2,3,16.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,21.5,18.3,25.1,18.3 - 25.1,Unknown,2020,9,2,3,43.400000000000006
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,16.9,14.6,19.3,14.6 - 19.3,Unknown,2020,9,2,3,33.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,18.9,17.6,20.4,17.6 - 20.4,Unknown,2020,9,2,3,38.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,21.7,20.7,22.6,20.7 - 22.6,Unknown,2020,9,2,3,43.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,19.0,18.5,19.6,18.5 - 19.6,Unknown,2020,9,2,3,38.1
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,9.1,8.7,9.5,8.7 - 9.5,Unknown,2020,9,2,3,18.2
